Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
3 Slow Blues (1979),3:20,Mick Taylor,9/24/2019,43,12/28/2020,8,1/1/2021
Life In The Fast Lane,4:45,Eagles,1/26/2019,42,12/26/2020,13,12/14/2020
Learning To Fly,4:31,Pink Floyd,1/14/2020,41,12/21/2020,15,12/8/2020
Comfortably Numb,6:22,Pink Floyd,1/10/2020,41,12/16/2020,17,1/10/2021
Listen Here,5:21,Gene Harris,6/11/2020,40,12/5/2020,7,12/12/2020
Funk #49,3:56,The James Gang,1/26/2019,39,12/7/2020,15,12/15/2020
Ramble On,4:25,Led Zeppelin,4/1/2019,39,11/19/2020,6,12/12/2020
It's Changed (1977),5:52,Lonnie Smith,7/14/2020,39,1/1/2021,4,12/21/2020
Low Rider,3:12,War,3/20/2019,38,1/10/2021,6,12/2/2020
Jesus Just Left Chicago (2006 Remaster),3:30,ZZ Top,3/11/2020,38,12/23/2020,8,1/8/2021
Summertime,3:27,Kenny Chesney,3/20/2019,36,11/11/2020,8,11/30/2020
Lifeline,2:55,Roy Ayers,6/21/2020,36,2/17/2021,4,12/12/2020
Hideaway,3:17,John Mayall,9/13/2019,35,2/21/2021,7,12/16/2020
For Your Life,6:21,Led Zeppelin,4/1/2019,35,11/22/2020,4,11/17/2020
Nobody's Fault But Mine,6:14,Led Zeppelin,4/1/2019,35,5/2/2019,8,12/19/2020
Heartache Tonight,4:27,Eagles,1/26/2019,34,12/28/2020,10,3/14/2020
All Right Now,5:31,Free,3/20/2019,34,12/26/2020,2,10/28/2020
Gentle Thoughts,7:03,Herbie Hancock,6/21/2020,34,1/2/2021,2,10/7/2020
Locomotive Breath,4:27,Jethro Tull,9/11/2019,34,1/8/2021,3,12/28/2020
Liquid Love,4:47,Roy Ayers,6/5/2020,34,2/21/2021,3,12/7/2020
Wanted Dread and Alive (2002 Remaster),4:28,Peter Tosh,8/4/2019,33,2/17/2021,21,12/13/2020
"Killer Queen (Top Of The Pops, 1974)",3:12,Queen,1/26/2019,33,12/26/2020,8,12/20/2020
So Much Trouble in The World,4:02,Bob Marley,4/3/2019,31,2/17/2021,1,01/01/1000
New Kid In Town,5:04,Eagles,1/26/2019,31,11/18/2020,8,12/12/2020
The Ocean,4:29,Led Zeppelin,4/1/2019,31,2/18/2021,7,12/2/2020
Step Into Our Life (1978),5:24,Roy Ayers & Wayne Henderson,6/9/2020,31,11/18/2020,12,12/28/2020
Take Your Soul,7:04,Sahara All Stars Of Jos,6/9/2020,31,2/17/2021,5,12/2/2020
The Struggle Discontinues,4:40,Damian Marley,5/20/2020,30,12/22/2020,11,12/13/2020
What Is And What Should Never Be,4:44,Led Zeppelin,4/1/2019,30,11/15/2020,10,12/18/2020
Rock The Night,4:58,Tribal Seeds,5/20/2020,30,2/17/2021,4,10/21/2020
Skankin' Sweet,4:12,Chronixx,5/20/2020,29,12/14/2020,3,2/18/2021
Blues in 'A',10:30,Eric Clapton,9/11/2019,29,12/10/2020,6,12/16/2020
Closer I Get (Feat. John Popper),3:29,Rebelution,5/20/2020,29,1/3/2021,7,2/18/2021
Beast Of Burden,3:31,The Rolling Stones,1/26/2019,29,1/3/2021,8,11/12/2020
Come Sail Away,6:04,Styx,8/31/2015,29,2/18/2021,7,12/10/2020
Harlem River Drive,7:51,Bobbi Humphrey,6/4/2020,28,2/18/2021,6,10/7/2020
Physical Love,5:32,Eddie Hazel,6/9/2020,28,12/17/2020,3,2/17/2021
Sweetback,5:29,The Fantastics!,6/9/2020,28,9/23/2020,16,12/18/2020
Steppin' Out,2:31,John Mayall,9/13/2019,29,2/21/2021,6,12/21/2020
"Shine on You Crazy Diamond, Pts. 6-9",12:23,Pink Floyd,1/10/2020,28,12/16/2020,13,12/9/2020
the memory,4:16,Roy Ayers,6/21/2020,28,1/1/2021,4,12/10/2020
Let's Stay Together,3:20,Al Green,6/5/2020,27,12/10/2020,15,2/17/2021
